timestamp,kappa,batch_start,batch_end,n_done,n_total,percent_done,elapsed_seconds
2026-05-17 17:48:29,0.0,0,32,32,1000,3.2,51.73127889633179
2026-05-17 17:49:16,0.0,32,64,64,1000,6.4,99.0712480545044
2026-05-17 17:49:57,0.0,64,96,96,1000,9.6,139.4584264755249
2026-05-17 17:50:41,0.0,96,128,128,1000,12.8,183.56556701660156
2026-05-17 17:51:29,0.0,128,160,160,1000,16.0,231.5730402469635
2026-05-17 17:52:09,0.0,160,192,192,1000,19.2,271.4451425075531
2026-05-17 17:52:56,0.0,192,224,224,1000,22.4,318.4033453464508
2026-05-17 17:53:42,0.0,224,256,256,1000,25.6,364.5689821243286
2026-05-17 17:54:27,0.0,256,288,288,1000,28.8,409.9482042789459
2026-05-17 17:55:10,0.0,288,320,320,1000,32.0,452.7587127685547
2026-05-17 17:55:46,0.0,320,352,352,1000,35.2,488.7591772079468
2026-05-17 17:56:24,0.0,352,384,384,1000,38.4,526.8129351139069
2026-05-17 17:57:20,0.0,384,416,416,1000,41.6,583.0851027965546
2026-05-17 17:58:12,0.0,416,448,448,1000,44.8,634.611163854599
2026-05-17 17:58:47,0.0,448,480,480,1000,48.0,669.8746814727783
2026-05-17 17:59:36,0.0,480,512,512,1000,51.2,718.8781027793884
2026-05-17 18:00:40,0.0,512,544,544,1000,54.4,782.7169461250305
2026-05-17 18:01:18,0.0,544,576,576,1000,57.6,820.5735976696014
2026-05-17 18:02:11,0.0,576,608,608,1000,60.8,873.6908237934113
2026-05-17 18:03:04,0.0,608,640,640,1000,64.0,926.7060785293579
2026-05-17 18:03:49,0.0,640,672,672,1000,67.2,971.6685612201691
2026-05-17 18:04:48,0.0,672,704,704,1000,70.4,1030.430605173111
2026-05-17 18:05:40,0.0,704,736,736,1000,73.6,1082.5730557441711
2026-05-17 18:06:36,0.0,736,768,768,1000,76.8,1138.8966567516327
2026-05-17 18:07:31,0.0,768,800,800,1000,80.0,1193.5387909412384
2026-05-17 18:08:22,0.0,800,832,832,1000,83.2,1245.1448900699615
2026-05-17 18:09:20,0.0,832,864,864,1000,86.4,1302.76224899292
2026-05-17 18:10:15,0.0,864,896,896,1000,89.6,1358.0004529953003
2026-05-17 18:11:11,0.0,896,928,928,1000,92.8,1413.231942653656
2026-05-17 18:11:53,0.0,928,960,960,1000,96.0,1455.7037618160248
2026-05-17 18:12:38,0.0,960,992,992,1000,99.2,1501.1357507705688
2026-05-17 18:13:15,0.0,992,1000,1000,1000,100.0,1538.0796341896057
2026-05-17 18:14:12,0.5,0,32,32,1000,3.2,56.03922724723816
2026-05-17 18:15:00,0.5,32,64,64,1000,6.4,104.04809021949768
2026-05-17 18:15:36,0.5,64,96,96,1000,9.6,140.3991882801056
2026-05-17 18:16:15,0.5,96,128,128,1000,12.8,179.42430114746094
2026-05-17 18:16:48,0.5,128,160,160,1000,16.0,212.81366753578186
2026-05-17 18:17:22,0.5,160,192,192,1000,19.2,246.5847601890564
2026-05-17 18:18:05,0.5,192,224,224,1000,22.4,289.51708221435547
2026-05-17 18:18:47,0.5,224,256,256,1000,25.6,331.1793403625488
2026-05-17 18:19:27,0.5,256,288,288,1000,28.8,371.86674547195435
2026-05-17 18:20:11,0.5,288,320,320,1000,32.0,415.0868740081787
2026-05-17 18:20:52,0.5,320,352,352,1000,35.2,456.4076783657074
2026-05-17 18:21:27,0.5,352,384,384,1000,38.4,491.6214282512665
2026-05-17 18:22:10,0.5,384,416,416,1000,41.6,534.6962888240814
2026-05-17 18:22:53,0.5,416,448,448,1000,44.8,577.8692526817322
2026-05-17 18:23:26,0.5,448,480,480,1000,48.0,610.4178845882416
2026-05-17 18:24:10,0.5,480,512,512,1000,51.2,654.7638425827026
2026-05-17 18:25:00,0.5,512,544,544,1000,54.4,704.4980709552765
2026-05-17 18:25:33,0.5,544,576,576,1000,57.6,737.5257337093353
2026-05-17 18:26:27,0.5,576,608,608,1000,60.8,791.0824544429779
2026-05-17 18:27:35,0.5,608,640,640,1000,64.0,859.220424413681
2026-05-17 18:28:30,0.5,640,672,672,1000,67.2,913.8745610713959
2026-05-17 18:29:30,0.5,672,704,704,1000,70.4,974.5148043632507
2026-05-17 18:30:22,0.5,704,736,736,1000,73.6,1026.6935942173004
2026-05-17 18:31:23,0.5,736,768,768,1000,76.8,1087.829036951065
2026-05-17 18:32:19,0.5,768,800,800,1000,80.0,1143.2222061157227
2026-05-17 18:33:12,0.5,800,832,832,1000,83.2,1196.1531097888947
2026-05-17 18:34:15,0.5,832,864,864,1000,86.4,1259.6738622188568
2026-05-17 18:35:19,0.5,864,896,896,1000,89.6,1323.1272704601288
2026-05-17 18:36:20,0.5,896,928,928,1000,92.8,1384.6253061294556
2026-05-17 18:37:01,0.5,928,960,960,1000,96.0,1425.273625612259
2026-05-17 18:37:43,0.5,960,992,992,1000,99.2,1467.442024230957
2026-05-17 18:38:16,0.5,992,1000,1000,1000,100.0,1500.8428609371185
2026-05-17 18:39:17,1.0,0,32,32,1000,3.2,59.945186138153076
2026-05-17 18:40:01,1.0,32,64,64,1000,6.4,104.2118284702301
2026-05-17 18:40:40,1.0,64,96,96,1000,9.6,143.23673295974731
2026-05-17 18:41:22,1.0,96,128,128,1000,12.8,184.90723872184753
2026-05-17 18:41:55,1.0,128,160,160,1000,16.0,217.90687537193298
2026-05-17 18:42:27,1.0,160,192,192,1000,19.2,250.55123257637024
2026-05-17 18:43:08,1.0,192,224,224,1000,22.4,291.11590576171875
2026-05-17 18:43:50,1.0,224,256,256,1000,25.6,332.99279618263245
2026-05-17 18:44:28,1.0,256,288,288,1000,28.8,370.94553685188293
2026-05-17 18:45:04,1.0,288,320,320,1000,32.0,407.5398817062378
2026-05-17 18:45:37,1.0,320,352,352,1000,35.2,440.25066471099854
2026-05-17 18:46:10,1.0,352,384,384,1000,38.4,472.8185558319092
2026-05-17 18:46:51,1.0,384,416,416,1000,41.6,514.4519591331482
2026-05-17 18:47:34,1.0,416,448,448,1000,44.8,557.1591856479645
2026-05-17 18:48:06,1.0,448,480,480,1000,48.0,589.442067861557
2026-05-17 18:48:50,1.0,480,512,512,1000,51.2,633.5480334758759
2026-05-17 18:49:39,1.0,512,544,544,1000,54.4,682.7007269859314
2026-05-17 18:50:12,1.0,544,576,576,1000,57.6,715.0149402618408
2026-05-17 18:50:58,1.0,576,608,608,1000,60.8,761.6630568504333
2026-05-17 18:51:50,1.0,608,640,640,1000,64.0,813.3787178993225
2026-05-17 18:52:34,1.0,640,672,672,1000,67.2,857.0458962917328
2026-05-17 18:53:24,1.0,672,704,704,1000,70.4,907.5785028934479
2026-05-17 18:54:08,1.0,704,736,736,1000,73.6,951.5316958427429
2026-05-17 18:55:00,1.0,736,768,768,1000,76.8,1003.3312418460846
2026-05-17 18:55:55,1.0,768,800,800,1000,80.0,1058.2948553562164
2026-05-17 18:56:48,1.0,800,832,832,1000,83.2,1111.6548690795898
2026-05-17 18:57:43,1.0,832,864,864,1000,86.4,1166.7235605716705
2026-05-17 18:58:31,1.0,864,896,896,1000,89.6,1214.7306661605835
2026-05-17 18:59:25,1.0,896,928,928,1000,92.8,1267.9800369739532
2026-05-17 19:00:11,1.0,928,960,960,1000,96.0,1313.8674070835114
2026-05-17 19:00:53,1.0,960,992,992,1000,99.2,1356.6280224323273
2026-05-17 19:01:26,1.0,992,1000,1000,1000,100.0,1389.0405871868134
2026-05-17 19:02:17,2.0,0,32,32,1000,3.2,51.397080183029175
2026-05-17 19:03:02,2.0,32,64,64,1000,6.4,96.02397298812866
2026-05-17 19:03:52,2.0,64,96,96,1000,9.6,146.04245853424072
2026-05-17 19:04:37,2.0,96,128,128,1000,12.8,190.9234926700592
2026-05-17 19:05:10,2.0,128,160,160,1000,16.0,223.75383114814758
2026-05-17 19:05:44,2.0,160,192,192,1000,19.2,257.5066022872925
2026-05-17 19:06:26,2.0,192,224,224,1000,22.4,299.53747606277466
2026-05-17 19:07:12,2.0,224,256,256,1000,25.6,345.94494223594666
2026-05-17 19:07:57,2.0,256,288,288,1000,28.8,390.81777787208557
2026-05-17 19:08:38,2.0,288,320,320,1000,32.0,431.96642804145813
2026-05-17 19:09:16,2.0,320,352,352,1000,35.2,470.43533635139465
2026-05-17 19:09:55,2.0,352,384,384,1000,38.4,508.9845726490021
2026-05-17 19:10:45,2.0,384,416,416,1000,41.6,559.4211835861206
2026-05-17 19:11:36,2.0,416,448,448,1000,44.8,610.1311399936676
2026-05-17 19:12:15,2.0,448,480,480,1000,48.0,649.0071890354156
2026-05-17 19:13:17,2.0,480,512,512,1000,51.2,710.7536911964417
2026-05-17 19:14:15,2.0,512,544,544,1000,54.4,769.2126269340515
2026-05-17 19:14:55,2.0,544,576,576,1000,57.6,808.8848073482513
2026-05-17 19:16:02,2.0,576,608,608,1000,60.8,875.9688663482666
2026-05-17 19:17:01,2.0,608,640,640,1000,64.0,935.3032388687134
2026-05-17 19:17:58,2.0,640,672,672,1000,67.2,991.7414560317993
2026-05-17 19:19:04,2.0,672,704,704,1000,70.4,1057.8761258125305
2026-05-17 19:19:56,2.0,704,736,736,1000,73.6,1109.5454790592194
2026-05-17 19:20:50,2.0,736,768,768,1000,76.8,1164.4603161811829
2026-05-17 19:21:48,2.0,768,800,800,1000,80.0,1221.644525051117
2026-05-17 19:22:48,2.0,800,832,832,1000,83.2,1281.5585536956787
2026-05-17 19:23:41,2.0,832,864,864,1000,86.4,1335.1538264751434
2026-05-17 19:24:37,2.0,864,896,896,1000,89.6,1391.3863651752472
2026-05-17 19:25:31,2.0,896,928,928,1000,92.8,1445.406354188919
2026-05-17 19:26:28,2.0,928,960,960,1000,96.0,1501.5483751296997
2026-05-17 19:27:25,2.0,960,992,992,1000,99.2,1559.1339852809906
2026-05-17 19:28:06,2.0,992,1000,1000,1000,100.0,1600.187267780304
2026-05-17 19:29:05,4.0,0,32,32,1000,3.2,59.02805304527283
2026-05-17 19:30:06,4.0,32,64,64,1000,6.4,119.90379428863525
2026-05-17 19:31:09,4.0,64,96,96,1000,9.6,183.03315496444702
2026-05-17 19:32:10,4.0,96,128,128,1000,12.8,243.48016095161438
2026-05-17 19:32:55,4.0,128,160,160,1000,16.0,288.8076219558716
2026-05-17 19:33:42,4.0,160,192,192,1000,19.2,335.95890402793884
2026-05-17 19:34:31,4.0,192,224,224,1000,22.4,385.04937195777893
2026-05-17 19:35:35,4.0,224,256,256,1000,25.6,448.94786643981934
2026-05-17 19:36:35,4.0,256,288,288,1000,28.8,508.74282908439636
2026-05-17 19:37:28,4.0,288,320,320,1000,32.0,561.2155690193176
2026-05-17 19:38:10,4.0,320,352,352,1000,35.2,603.7332210540771
2026-05-17 19:38:51,4.0,352,384,384,1000,38.4,644.3952510356903
2026-05-17 19:39:46,4.0,384,416,416,1000,41.6,699.0777139663696
2026-05-17 19:40:39,4.0,416,448,448,1000,44.8,752.698365688324
2026-05-17 19:41:21,4.0,448,480,480,1000,48.0,794.115647315979
2026-05-17 19:42:17,4.0,480,512,512,1000,51.2,850.9216392040253
2026-05-17 19:43:26,4.0,512,544,544,1000,54.4,919.8005120754242
2026-05-17 19:44:07,4.0,544,576,576,1000,57.6,960.6835379600525
2026-05-17 19:45:03,4.0,576,608,608,1000,60.8,1016.4070906639099
2026-05-17 19:45:59,4.0,608,640,640,1000,64.0,1072.151174545288
2026-05-17 19:46:50,4.0,640,672,672,1000,67.2,1123.067570924759
2026-05-17 19:47:50,4.0,672,704,704,1000,70.4,1184.0392525196075
2026-05-17 19:48:48,4.0,704,736,736,1000,73.6,1241.2195177078247
2026-05-17 19:49:51,4.0,736,768,768,1000,76.8,1304.9369359016418
2026-05-17 19:50:56,4.0,768,800,800,1000,80.0,1369.2037649154663
2026-05-17 19:51:56,4.0,800,832,832,1000,83.2,1429.6480524539948
2026-05-17 19:53:03,4.0,832,864,864,1000,86.4,1496.5817935466766
2026-05-17 19:54:04,4.0,864,896,896,1000,89.6,1557.796863079071
2026-05-17 19:55:04,4.0,896,928,928,1000,92.8,1617.3610906600952
2026-05-17 19:55:57,4.0,928,960,960,1000,96.0,1670.922116279602
2026-05-17 19:56:57,4.0,960,992,992,1000,99.2,1730.2769060134888
2026-05-17 19:57:41,4.0,992,1000,1000,1000,100.0,1774.4509575366974
